t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
2630.0,0.000000,1,0.0000,45.00,-45.0000
2640.0,0.000000,1,0.0000,45.00,-45.0000
2650.0,0.000000,1,0.0000,45.00,-45.0000
2660.0,0.000000,1,0.0000,45.00,-45.0000
2670.0,0.682805,1,358.6785,45.00,313.6785
2680.0,1.000000,0,525.3023,45.00,480.3023
2690.0,1.000000,0,525.3028,45.00,480.3028
2700.0,1.000000,0,525.3033,45.00,480.3033
2710.0,1.000000,0,525.3038,45.00,480.3038
2720.0,1.000000,0,525.3042,45.00,480.3042
2730.0,1.000000,0,525.3047,45.00,480.3047
2740.0,1.000000,0,525.3052,45.00,480.3052
2750.0,1.000000,0,525.3057,45.00,480.3057
2760.0,1.000000,0,525.3062,45.00,480.3062
2770.0,1.000000,0,525.3067,45.00,480.3067
2780.0,1.000000,0,525.3072,45.00,480.3072
2790.0,1.000000,0,525.3077,45.00,480.3077
2800.0,1.000000,0,525.3082,45.00,480.3082
2810.0,1.000000,0,525.3087,45.00,480.3087
2820.0,1.000000,0,525.3092,45.00,480.3092
2830.0,1.000000,0,525.3096,45.00,480.3096
2840.0,1.000000,0,525.3101,45.00,480.3101
2850.0,1.000000,0,525.3106,45.00,480.3106
2860.0,1.000000,0,525.3111,45.00,480.3111
2870.0,1.000000,0,525.3116,45.00,480.3116
2880.0,1.000000,0,525.3121,45.00,480.3121
2890.0,1.000000,0,525.3126,45.00,480.3126
2900.0,1.000000,0,525.3131,45.00,480.3131
2910.0,1.000000,0,525.3136,45.00,480.3136
2920.0,1.000000,0,525.3141,45.00,480.3141
2930.0,1.000000,0,525.3146,45.00,480.3146
2940.0,1.000000,0,525.3150,45.00,480.3150
2950.0,1.000000,0,525.3155,45.00,480.3155
2960.0,1.000000,0,525.3160,45.00,480.3160
2970.0,1.000000,0,525.3165,45.00,480.3165
2980.0,1.000000,0,525.3170,45.00,480.3170
2990.0,1.000000,0,525.3175,45.00,480.3175
3000.0,1.000000,0,525.3180,45.00,480.3180
3010.0,1.000000,0,525.3185,45.00,480.3185
3020.0,1.000000,0,525.3190,45.00,480.3190
3030.0,1.000000,0,525.3195,45.00,480.3195
3040.0,1.000000,0,525.3200,45.00,480.3200
3050.0,1.000000,0,525.3205,45.00,480.3205
3060.0,1.000000,0,525.3209,45.00,480.3209
3070.0,1.000000,0,525.3214,45.00,480.3214
3080.0,1.000000,0,525.3219,45.00,480.3219
3090.0,1.000000,0,525.3224,45.00,480.3224
3100.0,1.000000,0,525.3229,45.00,480.3229
3110.0,1.000000,0,525.3234,45.00,480.3234
3120.0,1.000000,0,525.3239,45.00,480.3239
3130.0,1.000000,0,525.3244,45.00,480.3244
3140.0,1.000000,0,525.3249,45.00,480.3249
3150.0,1.000000,0,525.3254,45.00,480.3254
3160.0,1.000000,0,525.3259,45.00,480.3259
3170.0,1.000000,0,525.3264,45.00,480.3264
3180.0,1.000000,0,525.3268,45.00,480.3268
3190.0,1.000000,0,525.3273,45.00,480.3273
3200.0,1.000000,0,525.3278,45.00,480.3278
3210.0,1.000000,0,525.3283,45.00,480.3283
3220.0,1.000000,0,525.3288,45.00,480.3288
3230.0,1.000000,0,525.3293,45.00,480.3293
3240.0,1.000000,0,525.3298,45.00,480.3298
3250.0,1.000000,0,525.3303,45.00,480.3303
3260.0,1.000000,0,525.3308,45.00,480.3308
3270.0,1.000000,0,525.3313,45.00,480.3313
3280.0,1.000000,0,525.3318,45.00,480.3318
3290.0,1.000000,0,525.3323,45.00,480.3323
3300.0,1.000000,0,525.3328,45.00,480.3328
3310.0,1.000000,0,525.3332,45.00,480.3332
3320.0,1.000000,0,525.3337,45.00,480.3337
3330.0,1.000000,0,525.3342,45.00,480.3342
3340.0,1.000000,0,525.3347,45.00,480.3347
3350.0,1.000000,0,525.3352,45.00,480.3352
3360.0,1.000000,0,525.3357,45.00,480.3357
3370.0,1.000000,0,525.3362,45.00,480.3362
3380.0,1.000000,0,525.3367,45.00,480.3367
3390.0,1.000000,0,525.3372,45.00,480.3372
3400.0,1.000000,0,525.3377,45.00,480.3377
3410.0,1.000000,0,525.3382,45.00,480.3382
3420.0,1.000000,0,525.3387,45.00,480.3387
3430.0,1.000000,0,525.3392,45.00,480.3392
3440.0,1.000000,0,525.3397,45.00,480.3397
3450.0,1.000000,0,525.3401,45.00,480.3401
3460.0,1.000000,0,525.3406,45.00,480.3406
3470.0,1.000000,0,525.3411,45.00,480.3411
3480.0,1.000000,0,525.3416,45.00,480.3416
3490.0,1.000000,0,525.3421,45.00,480.3421
3500.0,1.000000,0,525.3426,45.00,480.3426
3510.0,1.000000,0,525.3431,45.00,480.3431
3520.0,1.000000,0,525.3436,45.00,480.3436
3530.0,1.000000,0,525.3441,45.00,480.3441
3540.0,1.000000,0,525.3446,45.00,480.3446
3550.0,1.000000,0,525.3451,45.00,480.3451
3560.0,1.000000,0,525.3456,45.00,480.3456
3570.0,1.000000,0,525.3461,45.00,480.3461
3580.0,1.000000,0,525.3466,45.00,480.3466
