t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
3560.0,1.000000,0,571.5041,45.00,526.5041
3570.0,1.000000,0,571.5041,45.00,526.5041
3580.0,1.000000,0,571.5040,45.00,526.5040
3590.0,1.000000,0,571.5040,45.00,526.5040
3600.0,1.000000,0,571.5039,45.00,526.5039
3610.0,1.000000,0,571.5039,45.00,526.5039
3620.0,1.000000,0,571.5038,45.00,526.5038
3630.0,1.000000,0,571.5038,45.00,526.5038
3640.0,1.000000,0,571.5037,45.00,526.5037
3650.0,1.000000,0,571.5037,45.00,526.5037
3660.0,1.000000,0,571.5037,45.00,526.5037
3670.0,1.000000,0,571.5036,45.00,526.5036
3680.0,1.000000,0,571.5036,45.00,526.5036
3690.0,1.000000,0,571.5035,45.00,526.5035
3700.0,1.000000,0,571.5035,45.00,526.5035
3710.0,1.000000,0,571.5034,45.00,526.5034
3720.0,1.000000,0,571.5034,45.00,526.5034
3730.0,1.000000,0,571.5033,45.00,526.5033
3740.0,1.000000,0,571.5033,45.00,526.5033
3750.0,1.000000,0,571.5032,45.00,526.5032
3760.0,1.000000,0,571.5032,45.00,526.5032
3770.0,1.000000,0,571.5032,45.00,526.5032
3780.0,1.000000,0,571.5031,45.00,526.5031
3790.0,1.000000,0,571.5031,45.00,526.5031
3800.0,1.000000,0,571.5030,45.00,526.5030
3810.0,1.000000,0,571.5030,45.00,526.5030
3820.0,1.000000,0,571.5029,45.00,526.5029
3830.0,1.000000,0,571.5029,45.00,526.5029
3840.0,1.000000,0,571.5028,45.00,526.5028
3850.0,1.000000,0,571.5028,45.00,526.5028
3860.0,1.000000,0,571.5027,45.00,526.5027
3870.0,1.000000,0,571.5027,45.00,526.5027
3880.0,1.000000,0,571.5027,45.00,526.5027
3890.0,1.000000,0,571.5026,45.00,526.5026
3900.0,1.000000,0,571.5026,45.00,526.5026
3910.0,1.000000,0,571.5025,45.00,526.5025
3920.0,1.000000,0,571.5025,45.00,526.5025
3930.0,1.000000,0,571.5024,45.00,526.5024
